Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,13/01/2015,T&S UK - Subsistence,Programme Delivery Quantum Technology,Unspecified,76886192,5.1,GBP
BIS,EPSRC,13/01/2015,T&S UK - Subsistence,Programme Delivery Quantum Technology,Unspecified,76886192,12.25,GBP
BIS,EPSRC,14/01/2015,Contract Staff,Digital Communications,Capita Business Services Ltd,71879060,2874.96,GBP
BIS,EPSRC,14/01/2015,Contract Staff,Digital Communications,Capita Business Services Ltd,71879063,2874.96,GBP
BIS,EPSRC,14/01/2015,Contract Staff,Digital Communications,Capita Business Services Ltd,71882971,2874.96,GBP
BIS,EPSRC,14/01/2015,Contract Staff,Digital Communications,Capita Business Services Ltd,72262060,2299.97,GBP
BIS,EPSRC,14/01/2015,Contract Staff,Digital Communications,Capita Business Services Ltd,72607060,2874.96,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,RCUK-Newton Activity,Unspecified,73685333,9,GBP
BIS,EPSRC,14/01/2015,T&S UK - Subsistence,RCUK-Newton Activity,Unspecified,73685333,20,GBP
BIS,EPSRC,14/01/2015,T&S UK - Subsistence,RCUK-Newton Activity,Unspecified,73685333,24.42,GBP
BIS,EPSRC,14/01/2015,Contract Staff,Digital Communications,Capita Business Services Ltd,74401085,4599.94,GBP
BIS,EPSRC,14/01/2015,Contract Staff,Digital Communications,Capita Business Services Ltd,76317064,2874.96,GBP
BIS,EPSRC,14/01/2015,Contract Staff,Digital Communications,Capita Business Services Ltd,76622217,574.99,GBP
BIS,EPSRC,14/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,76624152,160,GBP
BIS,EPSRC,14/01/2015,T&S UK - Subsistence,Communications and Stakeholder Engagement,Unspecified,76955513,8.6,GBP
BIS,EPSRC,14/01/2015,Photocopy Costs,JRS,Robert Horne Paper Co Ltd,76955674,97.06,GBP
BIS,EPSRC,14/01/2015,Photocopy Costs,JRS,Robert Horne Paper Co Ltd,76955676,540.67,GBP
BIS,EPSRC,14/01/2015,T&S Overseas - Flights,Admin RCUK Strategy Unit,Company Barclaycard Commercial,76958063,5.86,GBP
BIS,EPSRC,14/01/2015,T&S Overseas - Flights,Admin RCUK Strategy Unit,Company Barclaycard Commercial,76958063,123.31,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Impact,Company Barclaycard Commercial,76958064,9.78,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Strategy,Company Barclaycard Commercial,76958065,130.38,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Strategy,Company Barclaycard Commercial,76958066,130.87,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Admin Research Base Director,Company Barclaycard Commercial,76958067,34.12,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Admin Research Base Director,Company Barclaycard Commercial,76958068,34.12,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Director BI/BR,Company Barclaycard Commercial,76958069,38.13,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Director BI/BR,Company Barclaycard Commercial,76958070,34.12,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Strategy,Company Barclaycard Commercial,76958071,130.87,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Strategy,Company Barclaycard Commercial,76958072,62.97,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Engineering,Company Barclaycard Commercial,76958073,93.13,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Strategy,Company Barclaycard Commercial,76958074,130.38,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Engineering,Company Barclaycard Commercial,76958075,98.42,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Energy,Company Barclaycard Commercial,76958076,130.77,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Energy,Company Barclaycard Commercial,76958077,130.77,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Engineering,Company Barclaycard Commercial,76958078,71.47,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Engineering,Company Barclaycard Commercial,76958079,105.4,GBP
BIS,EPSRC,14/01/2015,T&S UK - Flights,Programme Delivery Maths,Company Barclaycard Commercial,76958080,130.38,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Admin RCUK Strategy Unit,Company Barclaycard Commercial,76958081,160.33,GBP
BIS,EPSRC,14/01/2015,T&S UK - Accommodation,Programme Delivery Energy,Company Barclaycard Commercial,76958082,66.18,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Healthcare,Company Barclaycard Commercial,76958083,130.38,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Healthcare,Company Barclaycard Commercial,76958084,62.97,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Engineering,Company Barclaycard Commercial,76958085,22.16,GBP
BIS,EPSRC,14/01/2015,T&S UK - Accommodation,Programme Delivery Engineering,Company Barclaycard Commercial,76958086,4.93,GBP
BIS,EPSRC,14/01/2015,T&S UK - Accommodation,Programme Delivery Engineering,Company Barclaycard Commercial,76958087,9.86,GBP
BIS,EPSRC,14/01/2015,T&S UK - Accommodation,Programme Delivery Energy,Company Barclaycard Commercial,76958088,3.08,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Maths,Company Barclaycard Commercial,76958089,66.97,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Maths,Company Barclaycard Commercial,76958090,28.55,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Admin RCUK Strategy Unit,Company Barclaycard Commercial,76958091,32.23,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,EPSRC Corporate Services,Company Barclaycard Commercial,76958092,29.14,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,EPSRC Corporate Services,Company Barclaycard Commercial,76958093,63.97,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,EPSRC Corporate Services,Company Barclaycard Commercial,76958094,63.97,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,EPSRC Corporate Services,Company Barclaycard Commercial,76958095,36.54,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Energy,Company Barclaycard Commercial,76958096,130.77,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Physical Sciences,Company Barclaycard Commercial,76958097,34.12,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Physical Sciences,Company Barclaycard Commercial,76958098,68.97,GBP
BIS,EPSRC,14/01/2015,T&S UK - Public Transport,Programme Delivery Physical Sciences,Company Barclaycard Commercial,76958099,16.47,GBP
